# Title Segmentation Statistics 
# 
# generating_program mri_segstats
# cvs_version $Id: mri_segstats.c,v 1.75.2.9 2013/02/16 00:09:33 greve Exp $
# cmdline mri_segstats --annot nmasa_121_140703 lh test --i ../surf/lh.thickness --sum lh.thickness.sum 
# sysname  Linux
# hostname nimbus
# machine  x86_64
# user     stepanov
# anatomy_type surface
# 
# SUBJECTS_DIR /autofs/cluster/iaslab/nmasa/mri/recon
# subjectname nmasa_121_140703
# Annot nmasa_121_140703 lh test
# ColorTable /tmp/mri_segstats.tmp.nmasa_121_140703.lh.204.ctab 
# ColorTableTimeStamp 2016/05/24 15:27:48 
# InVolFile  ../surf/lh.thickness 
# InVolFileTimeStamp  2014/07/09 09:06:33 
# InVolFrame 0 
# Only reporting non-empty segmentations
# VertexArea_mm2 0.658455 
# TableCol  1 ColHeader Index 
# TableCol  1 FieldName Index 
# TableCol  1 Units     NA 
# TableCol  2 ColHeader SegId 
# TableCol  2 FieldName Segmentation Id
# TableCol  2 Units     NA
# TableCol  3 ColHeader NVertices 
# TableCol  3 FieldName Number of Vertices
# TableCol  3 Units     unitless
# TableCol  4 ColHeader Area_mm2
# TableCol  4 FieldName Area
# TableCol  4 Units     mm^2
# TableCol  5 ColHeader StructName
# TableCol  5 FieldName Structure Name
# TableCol  5 Units     NA
# TableCol  6 ColHeader Mean 
# TableCol  6 FieldName Intensity Mean
# TableCol  6 Units     unknown
# TableCol  7 ColHeader StdDev
# TableCol  7 FieldName Itensity StdDev
# TableCol  7 Units     unknown
# TableCol  8 ColHeader Min
# TableCol  8 FieldName Intensity Min
# TableCol  8 Units     unknown
# TableCol  9 ColHeader Max
# TableCol  9 FieldName Intensity Max
# TableCol  9 Units     unknown
# TableCol 10 ColHeader Range
# TableCol 10 FieldName Intensity Range
# TableCol 10 Units     unknown
# NRows 162 
# NTableCols 10 
# ColHeaders  Index SegId NVertices Area_mm2 StructName Mean StdDev Min Max Range  
 36  35       783      527.6  ic2.tri_vertex_35                  2.5253     0.8830     0.0000     4.7863     4.7863 
 37  36       725      486.5  ic2.tri_vertex_36                  2.2970     0.9487     0.0000     5.0000     5.0000 
 38  37       759      499.2  ic2.tri_vertex_37                  2.3722     0.8517     0.0000     4.9865     4.9865 
 39  38       759      488.8  ic2.tri_vertex_38                  2.3849     0.9575     0.0000     5.0000     5.0000 
 40  39       759      489.8  ic2.tri_vertex_39                  2.4834     0.7845     0.0000     5.0000     5.0000 
 41  40       759      496.6  ic2.tri_vertex_40                  2.4714     0.8921     0.0000     5.0000     5.0000 
 42  41       759      495.0  ic2.tri_vertex_41                  2.4770     0.7343     0.0000     5.0000     5.0000 
 43  42       790      522.4  ic2.tri_vertex_42                  2.4140     0.7841     0.0000     4.2647     4.2647 
 44  43       771      511.1  ic2.tri_vertex_43                  2.4087     0.8375     0.0000     4.9282     4.9282 
 45  44       785      535.1  ic2.tri_vertex_44                  2.4813     0.8112     0.0000     4.6751     4.6751 
 46  45       765      517.7  ic2.tri_vertex_45                  2.4023     0.9120     0.0000     4.9386     4.9386 
 47  46       723      466.8  ic2.tri_vertex_46                  2.4866     0.8399     0.0000     4.9715     4.9715 
 48  47       767      505.0  ic2.tri_vertex_47                  2.3520     0.7796     0.0000     5.0000     5.0000 
 49  48       761      506.7  ic2.tri_vertex_48                  2.2456     0.9241     0.0000     4.2483     4.2483 
 50  49       743      490.9  ic2.tri_vertex_49                  2.4395     0.8239     0.0000     4.8389     4.8389 
 51  50       766      502.6  ic2.tri_vertex_50                  2.2691     0.9042     0.0000     4.8741     4.8741 
 52  51       794      540.7  ic2.tri_vertex_51                  2.3847     0.7719     0.0000     4.6071     4.6071 
 53  52       765      505.2  ic2.tri_vertex_52                  2.3848     0.9040     0.0000     5.0000     5.0000 
 54  53       769      498.0  ic2.tri_vertex_53                  2.3983     0.9321     0.0000     4.8046     4.8046 
 55  54       720      463.1  ic2.tri_vertex_54                  2.4031     0.9709     0.0000     4.7519     4.7519 
 56  55       766      490.8  ic2.tri_vertex_55                  2.6300     0.9381     0.0000     5.0000     5.0000 
 57  56       765      527.6  ic2.tri_vertex_56                  2.4640     0.8976     0.0000     4.8386     4.8386 
 58  57       724      473.7  ic2.tri_vertex_57                  2.5517     0.7659     0.0000     5.0000     5.0000 
 59  58       791      527.1  ic2.tri_vertex_58                  2.4474     0.7458     0.0000     4.8148     4.8148 
 60  59       765      491.8  ic2.tri_vertex_59                  2.4314     1.0046     0.0000     4.6664     4.6664 
 61  60       765      503.3  ic2.tri_vertex_60                  2.3468     0.9256     0.0000     5.0000     5.0000 
 62  61       724      465.5  ic2.tri_vertex_61                  2.3729     0.8499     0.0000     4.6883     4.6883 
 63  62       761      496.0  ic2.tri_vertex_62                  2.3242     1.0439     0.0000     5.0000     5.0000 
 64  63       767      493.5  ic2.tri_vertex_63                  2.4361     1.0269     0.0000     5.0000     5.0000 
 65  64       723      488.8  ic2.tri_vertex_64                  2.3464     0.9454     0.0000     4.5737     4.5737 
 66  65       794      526.0  ic2.tri_vertex_65                  2.5261     0.7984     0.0000     4.7097     4.7097 
 67  66       766      512.0  ic2.tri_vertex_66                  2.4191     0.8298     0.0000     4.7818     4.7818 
 68  67       769      498.2  ic2.tri_vertex_67                  2.5098     0.7649     0.0000     4.3889     4.3889 
 69  68       765      507.3  ic2.tri_vertex_68                  2.3680     0.8994     0.0000     4.7708     4.7708 
 70  69       765      498.6  ic2.tri_vertex_69                  2.4086     0.8203     0.0000     4.5184     4.5184 
 71  70       762      502.2  ic2.tri_vertex_70                  2.2125     0.8577     0.0000     4.1246     4.1246 
 72  71       763      512.2  ic2.tri_vertex_71                  2.3072     0.8329     0.0000     4.3496     4.3496 
 73  72       766      512.1  ic2.tri_vertex_72                  2.4735     0.8316     0.0000     4.8321     4.8321 
 74  73       722      465.2  ic2.tri_vertex_73                  2.3485     0.7917     0.0000     4.3071     4.3071 
 75  74       764      501.6  ic2.tri_vertex_74                  2.2828     0.9269     0.0000     4.5805     4.5805 
 76  75       766      490.7  ic2.tri_vertex_75                  2.5140     0.8525     0.0000     5.0000     5.0000 
 77  76       741      493.7  ic2.tri_vertex_76                  2.3791     0.9736     0.0000     4.6543     4.6543 
 78  77       771      491.4  ic2.tri_vertex_77                  2.5234     0.8629     0.0000     4.6854     4.6854 
 79  78       759      516.5  ic2.tri_vertex_78                  2.4546     0.8726     0.0000     5.0000     5.0000 
 80  79       765      517.1  ic2.tri_vertex_79                  2.4213     0.8732     0.0000     4.7711     4.7711 
 81  80       767      519.7  ic2.tri_vertex_80                  2.2933     0.8772     0.0000     4.4807     4.4807 
 82  81       765      512.0  ic2.tri_vertex_81                  2.4753     0.8448     0.0000     4.8677     4.8677 
 83  82       768      507.6  ic2.tri_vertex_82                  2.3876     0.9657     0.0000     4.8696     4.8696 
 84  83       794      527.6  ic2.tri_vertex_83                  2.2626     1.0064     0.0000     4.9038     4.9038 
 85  84       790      499.4  ic2.tri_vertex_84                  2.4482     0.9369     0.0000     5.0000     5.0000 
 86  85       770      474.4  ic2.tri_vertex_85                  2.4049     0.9936     0.0000     5.0000     5.0000 
 87  86       769      487.2  ic2.tri_vertex_86                  2.4115     0.9265     0.0000     5.0000     5.0000 
 88  87       724      472.0  ic2.tri_vertex_87                  2.3452     0.9028     0.0000     4.4771     4.4771 
 89  88       760      487.1  ic2.tri_vertex_88                  2.4633     0.8434     0.0000     4.7696     4.7696 
 90  89       765      499.3  ic2.tri_vertex_89                  2.5423     0.8754     0.0000     5.0000     5.0000 
 91  90       722      476.8  ic2.tri_vertex_90                  2.2985     0.8016     0.0000     4.7685     4.7685 
 92  91       770      498.0  ic2.tri_vertex_91                  2.5174     0.8836     0.0000     5.0000     5.0000 
 93  92       757      506.8  ic2.tri_vertex_92                  2.3154     0.9161     0.0000     5.0000     5.0000 
 94  93       756      510.8  ic2.tri_vertex_93                  2.4357     1.0034     0.0000     5.0000     5.0000 
 95  94       769      490.8  ic2.tri_vertex_94                  2.3269     0.9312     0.0000     5.0000     5.0000 
